tr, amp, labels
101.643,4481.21,carbon
92.5127,5334.2,carbon
173.093,7400.53,alpha
94.1566,6105.08,carbon
102.276,4523.98,carbon
95.3032,6657.69,carbon
109.061,6511.65,carbon
86.8601,9912.3,carbon
93.0367,4933.48,carbon
181.206,8071.27,alpha
96.7769,3929.94,carbon
92.7763,8267.75,carbon
91.8518,7915.77,carbon
95.763,8690.62,carbon
93.3701,7341.31,carbon
96.6313,8559.26,carbon
93.3524,4319.63,carbon
90.7478,10621.4,carbon
98.0936,9344.41,carbon
99.8884,5032.42,carbon
93.5926,6294.71,carbon
104.541,7448.18,carbon
86.5973,4957.7,carbon
103.97,8599.59,carbon
99.7074,4686.28,carbon
84.7997,6101.7,carbon
175.624,7822.04,alpha
99.2955,3858.8,carbon
92.8871,11475.4,carbon
116.847,5744.61,carbon
99.306,9481.88,carbon
106.749,11207.1,carbon
94.4407,15663.4,carbon
106.536,8065.36,carbon
97.0674,3476.63,carbon
114.815,8870.11,carbon
105.995,6659.04,carbon
96.2006,13090.2,carbon
101.64,6125.62,carbon
103.923,7376.54,carbon
151.64,9690.58,alpha
194.21,10352,alpha
89.6883,5613.2,carbon
88.7945,14834.2,carbon
90.9457,9327.71,carbon
200.256,10054.2,alpha
101.584,5232.74,carbon
203.936,8288.35,alpha
101.26,7958.52,carbon
96.1727,11605.2,carbon
92.4359,7128.05,carbon
94.2915,4516.78,carbon
101.685,8041.67,carbon
100.443,3987.28,carbon
99.2605,8403.15,carbon
216.535,9779.6,alpha
91.1414,12950.9,carbon
103.264,10754.7,carbon
240.739,9657.65,alpha
232.162,10365.9,alpha
98.5935,14365.6,carbon
100.713,12046.5,carbon
118.826,10243.3,others
108.232,5846.33,carbon
232.326,8973.77,alpha
95.4537,9180.34,carbon
180.585,10226.3,alpha
116.851,3665.02,carbon
102.081,6834.98,carbon
95.752,13164.2,carbon
105.802,8810.65,carbon
97.1648,12521.5,carbon
99.3196,6171.07,carbon
92.9116,7402.21,carbon
107.975,7806.54,carbon
99.6996,8914.44,carbon
209.335,10865.8,alpha
114.049,10114.9,carbon
184.845,10117.4,alpha
94.15,4900.93,carbon
93.9953,6180.25,carbon
208.557,9917.03,alpha
89.6061,5415.43,carbon
97.1373,7803.05,carbon
97.4362,7247.42,carbon
103.271,8325.01,carbon
90.4087,4802.69,carbon
93.1244,5286.5,carbon
90.0678,5761.26,carbon
105.963,5991.19,carbon
101.419,7140.24,carbon
102.909,30155.3,carbon
96.3097,29353,carbon
103.842,13054.1,carbon
159.267,18548.9,2alphas
105.484,5002.18,carbon
92.2664,6544.66,carbon
202.491,10012.7,alpha
119.283,9251.36,others
114.105,5008.22,carbon
97.5125,5494.66,carbon
96.0354,5383.84,carbon
119.194,3813,carbon
98.0903,16991.5,carbon
101.192,7469.77,carbon
95.3832,3430.12,carbon
208.228,10643.4,alpha
95.2313,5427.37,carbon
96.2677,6588.34,carbon
104.376,12880.1,carbon
89.6541,6151.3,carbon
103.891,14659.7,carbon
94.4439,4550.11,carbon
0.0393259,12145.7,others
96.6393,11388.9,carbon
93.3276,7058.23,carbon
106.213,4151.05,carbon
215.249,10204.1,alpha
106.723,6523.8,carbon
93.5388,10714.1,carbon
100.023,8218.11,carbon
97.1859,4168.92,carbon
84.8564,5594.24,carbon
228.798,10217.8,alpha
89.3908,5776.92,carbon
233.673,9901.41,alpha
155.195,9671.02,alpha
105.731,17070.8,carbon
98.2045,9408.73,carbon
90.2404,7587.49,carbon
105.091,9769.23,carbon
103.887,5710.34,carbon
99.6862,6060.15,carbon
93.4185,14908,carbon
200.436,9756.79,alpha
112.56,6236.17,carbon
190.293,10119.9,alpha
102.966,11820.9,carbon
184.416,8310.01,alpha
98.4962,11019,carbon
182.844,7746.31,alpha
101.253,12213.1,carbon
101.538,7189.39,carbon
97.7595,5195.56,carbon
99.476,11022.7,carbon
197.366,11527.3,alpha
121.436,9635.87,alpha
99.7068,8518.66,carbon
102.647,18123.5,carbon
194.845,10299.5,alpha
169.073,9817.81,alpha
100.654,5955.69,carbon
125.807,6831.57,carbon
86.0942,5342.82,carbon
98.5935,6388.04,carbon
96.9217,11482.1,carbon
105.366,7095.51,carbon
91.6105,5665.06,carbon
94.1228,6150.1,carbon
199.047,10393.1,alpha
98.4429,25784.7,carbon
95.6775,13039.8,carbon
102.743,11100.1,carbon
213.004,10840.8,alpha
103.062,21694.4,carbon
95.3283,4951.97,carbon
98.3123,13800.9,carbon
97.1811,13342.3,carbon
100.093,7081.3,carbon
92.413,8725.73,carbon
194.338,11032.9,alpha
95.3786,10570,carbon
95.8074,13153.9,carbon
99.0636,6504.41,carbon
197.387,9825.6,alpha
104.391,13110.3,carbon
102.312,5879.52,carbon
96.5188,3781.1,carbon
80.0825,5376.67,carbon
90.2189,4173.51,carbon
97.5225,5507.58,carbon
95.8697,7804.21,carbon
95.5743,5869.13,carbon
109.002,9396.29,carbon
94.2508,5424.24,carbon
106.744,3639.81,carbon
96.5847,5092.64,carbon
